concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000000001,Screening Visit 1,Visit,None,Visit,,,2019-01-01,2099-12-31,
2000000002,Screening Visit 2,Visit,None,Visit,,,2019-01-01,2099-12-31,
2000000003,Screening Visit 3,Visit,None,Visit,,,2019-01-01,2099-12-31,
2000000004,Screening Visit 4,Visit,None,Visit,,,2019-01-01,2099-12-31,
2000000005,Screening Visit 5,Visit,None,Visit,,,2019-01-01,2099-12-31,
2000000006,Early recall,Visit,None,Visit,,,2019-01-01,2099-12-31,
2100000001,Assigned to intervention trial arm,Observation,None,Undefined,,,2019-01-01,2099-12-31,
2100000002,Assigned to control trial arm,Observation,None,Undefined,,,2019-01-01,2099-12-31,
2100000003,Death Before Randomization,Observation,None,Undefined,,,2019-01-01,2099-12-31,
2100000004,Cancer Before Randomization,Observation,None,Undefined,,,2019-01-01,2099-12-31,
2100000006,Early recall scheduled,Observation,None,Undefined,,,2019-01-01,2099-12-31,
2100000007,Non attendance for screening,Observation,None,Undefined,,,2019-01-01,2099-12-31,
2100000008,Biopsy or assessment recommended,Observation,None,Undefined,,,2019-01-01,2099-12-31,
2100000009,No sample collected due to participant refusal,Observation,None,Undefined,,,2019-01-01,2099-12-31,
2100000010,No sample collected due to major risk of bleeding,Observation,None,Undefined,,,2019-01-01,2099-12-31,
2000000007,"Endocrine therapy, Neo-adjuvant treatment",Procedure,None,Undefined,,,2019-01-01,2099-12-31,
2000000008,"Endocrine therapy, Pharmacological",Procedure,None,Undefined,,,2019-01-01,2099-12-31,
2000000009,"Endocrine therapy, Surgical",Procedure,None,Undefined,,,2019-01-01,2099-12-31,
2000000010,"Radiotherapy, Adjuvant",Procedure,None,Undefined,,,2019-01-01,2099-12-31,
2000000011,"Radiotherapy, Other",Procedure,None,Undefined,,,2019-01-01,2099-12-31,
2000000187,BCR free years,Observation,None,Undefined,,179,2019-01-01,2099-12-31,
